"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 3 months for Residential Property Price Index","2020 March","Midland - houses","%","-2.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 March","West - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 March","Mid-East including Louth - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 March","Mid-West including South Tipperary - houses","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2020 March","South-East excluding South Tipperary - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 March","South-West - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","National - all residential properties","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","National - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","National - apartments","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Dublin - all residential properties","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Dublin - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Dublin - apartments","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Dublin City - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Dun Laoghaire-Rathdown - houses","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Fingal - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","South Dublin - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","National excluding Dublin - all residential properties","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","National excluding Dublin - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","National excluding Dublin - apartments","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Border excluding Louth - houses","%","-2.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Midland - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","West - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Mid-East including Louth - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","Mid-West including South Tipperary - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","South-East excluding South Tipperary - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 April","South-West - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","National - all residential properties","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","National - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","National - apartments","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Dublin - all residential properties","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Dublin - houses","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Dublin - apartments","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Dublin City - houses","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Dun Laoghaire-Rathdown - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Fingal - houses","%","-2.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","South Dublin - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","National excluding Dublin - all residential properties","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","National excluding Dublin - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","National excluding Dublin - apartments","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Border excluding Louth - houses","%","-3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Midland - houses","%","-1.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","West - houses","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Mid-East including Louth - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","Mid-West including South Tipperary - houses","%","-2.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","South-East excluding South Tipperary - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 May","South-West - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","National - all residential properties","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","National - houses","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","National - apartments","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Dublin - all residential properties","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Dublin - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Dublin - apartments","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Dublin City - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Dun Laoghaire-Rathdown - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Fingal - houses","%","-3.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","South Dublin - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","National excluding Dublin - all residential properties","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","National excluding Dublin - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","National excluding Dublin - apartments","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Border excluding Louth - houses","%","-3.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Midland - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","West - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Mid-East including Louth - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","Mid-West including South Tipperary - houses","%","-2.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","South-East excluding South Tipperary - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 June","South-West - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","National - all residential properties","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","National - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","National - apartments","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Dublin - all residential properties","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Dublin - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Dublin - apartments","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Dublin City - houses","%","-1.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Dun Laoghaire-Rathdown - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Fingal - houses","%","-1"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","South Dublin - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","National excluding Dublin - all residential properties","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","National excluding Dublin - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","National excluding Dublin - apartments","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Border excluding Louth - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Midland - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","West - houses","%","-0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Mid-East including Louth - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","Mid-West including South Tipperary - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","South-East excluding South Tipperary - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 July","South-West - houses","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","National - all residential properties","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","National - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","National - apartments","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Dublin - all residential properties","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Dublin - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Dublin - apartments","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Dublin City - houses","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Dun Laoghaire-Rathdown - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Fingal - houses","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","South Dublin - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","National excluding Dublin - all residential properties","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","National excluding Dublin - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","National excluding Dublin - apartments","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Border excluding Louth - houses","%","-3"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Midland - houses","%","3.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","West - houses","%","-1.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Mid-East including Louth - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","Mid-West including South Tipperary - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","South-East excluding South Tipperary - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 August","South-West - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","National - all residential properties","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","National - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","National - apartments","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Dublin - all residential properties","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Dublin - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Dublin - apartments","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Dublin City - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Dun Laoghaire-Rathdown - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Fingal - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","South Dublin - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","National excluding Dublin - all residential properties","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","National excluding Dublin - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","National excluding Dublin - apartments","%","3.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Border excluding Louth - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Midland - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","West - houses","%","-2"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Mid-East including Louth - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","Mid-West including South Tipperary - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","South-East excluding South Tipperary - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 September","South-West - houses","%","-0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","National - all residential properties","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","National - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","National - apartments","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Dublin - all residential properties","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Dublin - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Dublin - apartments","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Dublin City - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Dun Laoghaire-Rathdown - houses","%","-0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Fingal - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","South Dublin - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","National excluding Dublin - all residential properties","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","National excluding Dublin - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","National excluding Dublin - apartments","%","3.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Border excluding Louth - houses","%","-0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Midland - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","West - houses","%","0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Mid-East including Louth - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","Mid-West including South Tipperary - houses","%","-2.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","South-East excluding South Tipperary - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 October","South-West - houses","%","-1.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","National - all residential properties","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","National - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","National - apartments","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Dublin - all residential properties","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Dublin - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Dublin - apartments","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Dublin City - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Dun Laoghaire-Rathdown - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Fingal - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","South Dublin - houses","%","3.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","National excluding Dublin - all residential properties","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","National excluding Dublin - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","National excluding Dublin - apartments","%","4.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Border excluding Louth - houses","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Midland - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","West - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Mid-East including Louth - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","Mid-West including South Tipperary - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","South-East excluding South Tipperary - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 November","South-West - houses","%","-0.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","National - all residential properties","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","National - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","National - apartments","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Dublin - all residential properties","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Dublin - houses","%","1.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Dublin - apartments","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Dublin City - houses","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Dun Laoghaire-Rathdown - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Fingal - houses","%","0.7"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","South Dublin - houses","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","National excluding Dublin - all residential properties","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","National excluding Dublin - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","National excluding Dublin - apartments","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Border excluding Louth - houses","%","3.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Midland - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","West - houses","%","4.1"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Mid-East including Louth - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","Mid-West including South Tipperary - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","South-East excluding South Tipperary - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2020 December","South-West - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","National - all residential properties","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","National - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","National - apartments","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Dublin - all residential properties","%","1.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Dublin - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Dublin - apartments","%","-1.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Dublin City - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Dun Laoghaire-Rathdown - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Fingal - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","South Dublin - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","National excluding Dublin - all residential properties","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","National excluding Dublin - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","National excluding Dublin - apartments","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Border excluding Louth - houses","%","5.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Midland - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","West - houses","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Mid-East including Louth - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","Mid-West including South Tipperary - houses","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","South-East excluding South Tipperary - houses","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2021 January","South-West - houses","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","National - all residential properties","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","National - houses","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","National - apartments","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Dublin - all residential properties","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Dublin - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Dublin - apartments","%","-0.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Dublin City - houses","%","2.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Dun Laoghaire-Rathdown - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Fingal - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","South Dublin - houses","%","0.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","National excluding Dublin - all residential properties","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","National excluding Dublin - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","National excluding Dublin - apartments","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Border excluding Louth - houses","%","3.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Midland - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","West - houses","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Mid-East including Louth - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","Mid-West including South Tipperary - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","South-East excluding South Tipperary - houses","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2021 February","South-West - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","National - all residential properties","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","National - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","National - apartments","%","0.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Dublin - all residential properties","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Dublin - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Dublin - apartments","%","-0.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Dublin City - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Dun Laoghaire-Rathdown - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Fingal - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","South Dublin - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","National excluding Dublin - all residential properties","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","National excluding Dublin - houses","%","0.9"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","National excluding Dublin - apartments","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Border excluding Louth - houses","%","4"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Midland - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","West - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Mid-East including Louth - houses","%","0.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","Mid-West including South Tipperary - houses","%","0.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","South-East excluding South Tipperary - houses","%","0.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 March","South-West - houses","%","-0.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","National - all residential properties","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","National - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","National - apartments","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Dublin - all residential properties","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Dublin - houses","%","2.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Dublin - apartments","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Dublin City - houses","%","3.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Dun Laoghaire-Rathdown - houses","%","3.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Fingal - houses","%","2.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","South Dublin - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","National excluding Dublin - all residential properties","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","National excluding Dublin - houses","%","1"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","National excluding Dublin - apartments","%","3.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Border excluding Louth - houses","%","4.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Midland - houses","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","West - houses","%","1.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Mid-East including Louth - houses","%","1.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","Mid-West including South Tipperary - houses","%","2.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","South-East excluding South Tipperary - houses","%","0.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 April","South-West - houses","%","-1.5"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","National - all residential properties","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","National - houses","%","2.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","National - apartments","%","2.9"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Dublin - all residential properties","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Dublin - houses","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Dublin - apartments","%","1.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Dublin City - houses","%","2.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Dun Laoghaire-Rathdown - houses","%","4.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Fingal - houses","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","South Dublin - houses","%","3.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","National excluding Dublin - all residential properties","%","1.8"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","National excluding Dublin - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","National excluding Dublin - apartments","%","5.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Border excluding Louth - houses","%","5.9"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Midland - houses","%","2"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","West - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Mid-East including Louth - houses","%","1.6"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","Mid-West including South Tipperary - houses","%","4"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","South-East excluding South Tipperary - houses","%","0"
"Percentage Change over 3 months for Residential Property Price Index","2021 May","South-West - houses","%","-0.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","National - all residential properties","%","3.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","National - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","National - apartments","%","4"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Dublin - all residential properties","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Dublin - houses","%","3"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Dublin - apartments","%","3.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Dublin City - houses","%","2.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Dun Laoghaire-Rathdown - houses","%","4.3"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Fingal - houses","%","1.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","South Dublin - houses","%","4.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","National excluding Dublin - all residential properties","%","3.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","National excluding Dublin - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","National excluding Dublin - apartments","%","5.2"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Border excluding Louth - houses","%","5.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Midland - houses","%","3.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","West - houses","%","1.4"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Mid-East including Louth - houses","%","2.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","Mid-West including South Tipperary - houses","%","4.9"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","South-East excluding South Tipperary - houses","%","3.1"
"Percentage Change over 3 months for Residential Property Price Index","2021 June","South-West - houses","%","3.7"
"Percentage Change over 3 months for Residential Property Price Index","2021 July","National - all residential properties","%","4"
