"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Residential Property Price Index","2005 June","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","National excluding Dublin - all residential properties","Base Jan 2005 = 100","103.3"
"Residential Property Price Index","2005 June","National excluding Dublin - houses","Base Jan 2005 = 100","104"
"Residential Property Price Index","2005 June","National excluding Dublin - apartments","Base Jan 2005 = 100","91.6"
"Residential Property Price Index","2005 June","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 June","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","National - all residential properties","Base Jan 2005 = 100","105.3"
"Residential Property Price Index","2005 July","National - houses","Base Jan 2005 = 100","106.2"
"Residential Property Price Index","2005 July","National - apartments","Base Jan 2005 = 100","100.1"
"Residential Property Price Index","2005 July","Dublin - all residential properties","Base Jan 2005 = 100","105.7"
"Residential Property Price Index","2005 July","Dublin - houses","Base Jan 2005 = 100","106.9"
"Residential Property Price Index","2005 July","Dublin - apartments","Base Jan 2005 = 100","103.3"
"Residential Property Price Index","2005 July","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","National excluding Dublin - all residential properties","Base Jan 2005 = 100","105.1"
"Residential Property Price Index","2005 July","National excluding Dublin - houses","Base Jan 2005 = 100","105.8"
"Residential Property Price Index","2005 July","National excluding Dublin - apartments","Base Jan 2005 = 100","93.5"
"Residential Property Price Index","2005 July","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 July","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","National - all residential properties","Base Jan 2005 = 100","107.1"
"Residential Property Price Index","2005 August","National - houses","Base Jan 2005 = 100","107.8"
"Residential Property Price Index","2005 August","National - apartments","Base Jan 2005 = 100","101.5"
"Residential Property Price Index","2005 August","Dublin - all residential properties","Base Jan 2005 = 100","107.8"
"Residential Property Price Index","2005 August","Dublin - houses","Base Jan 2005 = 100","108.9"
"Residential Property Price Index","2005 August","Dublin - apartments","Base Jan 2005 = 100","104.6"
"Residential Property Price Index","2005 August","Dublin City - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","Dun Laoghaire-Rathdown - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","Fingal - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","South Dublin - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","National excluding Dublin - all residential properties","Base Jan 2005 = 100","106.7"
"Residential Property Price Index","2005 August","National excluding Dublin - houses","Base Jan 2005 = 100","107.3"
"Residential Property Price Index","2005 August","National excluding Dublin - apartments","Base Jan 2005 = 100","96.7"
"Residential Property Price Index","2005 August","Border excluding Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","Midland - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","Mid-East including Louth - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","Mid-West including South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","South-East excluding South Tipperary - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 August","South-West - houses","Base Jan 2005 = 100",""
"Residential Property Price Index","2005 September","National - all residential properties","Base Jan 2005 = 100","108.2"
