"Statistic Label","Item","Quarter","UNIT","VALUE"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1975Q2","Euro Million","339.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1975Q3","Euro Million","351.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1975Q4","Euro Million","360.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1976Q1","Euro Million","380.8"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1976Q2","Euro Million","409.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1976Q3","Euro Million","452.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1976Q4","Euro Million","420.8"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1977Q1","Euro Million","433.6"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1977Q2","Euro Million","466.6"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1977Q3","Euro Million","488.6"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1977Q4","Euro Million","527.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1978Q1","Euro Million","556.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1978Q2","Euro Million","544.8"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1978Q3","Euro Million","558.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1978Q4","Euro Million","560"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1979Q1","Euro Million","576.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1979Q2","Euro Million","591.1"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1979Q3","Euro Million","594"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1979Q4","Euro Million","598.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1980Q1","Euro Million","605.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1980Q2","Euro Million","613.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1980Q3","Euro Million","632.8"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1980Q4","Euro Million","665"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1981Q1","Euro Million","706.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1981Q2","Euro Million","734.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1981Q3","Euro Million","746.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1981Q4","Euro Million","751.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1982Q1","Euro Million","788.5"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1982Q2","Euro Million","809.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1982Q3","Euro Million","834.6"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1982Q4","Euro Million","859.1"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1983Q1","Euro Million","882.7"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1983Q2","Euro Million","896.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1983Q3","Euro Million","949.1"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1983Q4","Euro Million","967.9"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1984Q1","Euro Million","1024.3"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1984Q2","Euro Million","1072.4"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1984Q3","Euro Million","1120.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1984Q4","Euro Million","1124.1"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1985Q1","Euro Million","1170.2"
"Exchequer Account (Historical Series)","Post Office and TSB deposits","1985Q2","Euro Million","1206.6"
