Statistic Label,Quarter,Area,UNIT,VALUE
New House Prices,1984Q2,Galway,Euro,47090
New House Prices,1984Q2,Limerick,Euro,40484
New House Prices,1984Q2,Waterford,Euro,43716
New House Prices,1984Q2,Other areas,Euro,43909
New House Prices,1984Q3,National,Euro,45843
New House Prices,1984Q3,Dublin,Euro,48924
New House Prices,1984Q3,Cork,Euro,40045
New House Prices,1984Q3,Galway,Euro,43282
New House Prices,1984Q3,Limerick,Euro,43497
New House Prices,1984Q3,Waterford,Euro,44932
New House Prices,1984Q3,Other areas,Euro,45279
New House Prices,1984Q4,National,Euro,45453
New House Prices,1984Q4,Dublin,Euro,47503
New House Prices,1984Q4,Cork,Euro,41779
New House Prices,1984Q4,Galway,Euro,47869
New House Prices,1984Q4,Limerick,Euro,45892
New House Prices,1984Q4,Waterford,Euro,44534
New House Prices,1984Q4,Other areas,Euro,44109
New House Prices,1985Q1,National,Euro,45667
New House Prices,1985Q1,Dublin,Euro,47783
New House Prices,1985Q1,Cork,Euro,41330
New House Prices,1985Q1,Galway,Euro,47694
New House Prices,1985Q1,Limerick,Euro,43077
New House Prices,1985Q1,Waterford,Euro,45462
New House Prices,1985Q1,Other areas,Euro,44629
New House Prices,1985Q2,National,Euro,46404
New House Prices,1985Q2,Dublin,Euro,49766
New House Prices,1985Q2,Cork,Euro,41843
New House Prices,1985Q2,Galway,Euro,47455
New House Prices,1985Q2,Limerick,Euro,42892
New House Prices,1985Q2,Waterford,Euro,42958
New House Prices,1985Q2,Other areas,Euro,45049
New House Prices,1985Q3,National,Euro,46636
New House Prices,1985Q3,Dublin,Euro,49725
New House Prices,1985Q3,Cork,Euro,42292
New House Prices,1985Q3,Galway,Euro,51292
New House Prices,1985Q3,Limerick,Euro,46899
New House Prices,1985Q3,Waterford,Euro,41311
New House Prices,1985Q3,Other areas,Euro,44040
New House Prices,1985Q4,National,Euro,47689
New House Prices,1985Q4,Dublin,Euro,49698
New House Prices,1985Q4,Cork,Euro,46122
New House Prices,1985Q4,Galway,Euro,49201
New House Prices,1985Q4,Limerick,Euro,46119
New House Prices,1985Q4,Waterford,Euro,44889
New House Prices,1985Q4,Other areas,Euro,46201
New House Prices,1986Q1,National,Euro,47201
New House Prices,1986Q1,Dublin,Euro,49562
New House Prices,1986Q1,Cork,Euro,41091
New House Prices,1986Q1,Galway,Euro,49586
New House Prices,1986Q1,Limerick,Euro,46396
New House Prices,1986Q1,Waterford,Euro,53370
New House Prices,1986Q1,Other areas,Euro,45777
New House Prices,1986Q2,National,Euro,48373
New House Prices,1986Q2,Dublin,Euro,50758
New House Prices,1986Q2,Cork,Euro,43789
New House Prices,1986Q2,Galway,Euro,52599
New House Prices,1986Q2,Limerick,Euro,48669
New House Prices,1986Q2,Waterford,Euro,49625
New House Prices,1986Q2,Other areas,Euro,46354
New House Prices,1986Q3,National,Euro,49030
New House Prices,1986Q3,Dublin,Euro,51502
New House Prices,1986Q3,Cork,Euro,44243
New House Prices,1986Q3,Galway,Euro,50993
New House Prices,1986Q3,Limerick,Euro,48529
New House Prices,1986Q3,Waterford,Euro,46533
New House Prices,1986Q3,Other areas,Euro,47790
New House Prices,1986Q4,National,Euro,48350
New House Prices,1986Q4,Dublin,Euro,51575
New House Prices,1986Q4,Cork,Euro,45450
New House Prices,1986Q4,Galway,Euro,47790
New House Prices,1986Q4,Limerick,Euro,45102
New House Prices,1986Q4,Waterford,Euro,46216
New House Prices,1986Q4,Other areas,Euro,45992
New House Prices,1987Q1,National,Euro,47994
New House Prices,1987Q1,Dublin,Euro,48923
New House Prices,1987Q1,Cork,Euro,44729
New House Prices,1987Q1,Galway,Euro,46855
New House Prices,1987Q1,Limerick,Euro,47586
New House Prices,1987Q1,Waterford,Euro,46438
New House Prices,1987Q1,Other areas,Euro,46612
New House Prices,1987Q2,National,Euro,47482
New House Prices,1987Q2,Dublin,Euro,50548
New House Prices,1987Q2,Cork,Euro,44911
New House Prices,1987Q2,Galway,Euro,48193
