Island of Ireland precipitation (IIP) National series (averaged monthly precipitation of the 25 station series),,,,,,,,,,,,
,,,,,,,,,,,,
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1935,41.4,103.1,45.5,84.1,33.2,133.9,27.4,71.5,155.6,114.4,128.1,86.5
1936,144,83.2,73.8,49,38.6,89.2,169.5,44.5,106.4,73.3,110.2,127.3
1937,174.9,137.3,94.3,82.4,55.5,47.6,117.1,70.8,102.9,68.6,69.2,77.2
1938,131.4,58.7,47.5,5.3,99.6,102.2,134.1,89.4,75.9,176,159.3,124
1939,130,96.9,79.7,48.2,30.4,59.8,119.1,50.4,59.1,86,193.5,84
1940,106.2,127.5,95,97.9,47.8,35.5,95.2,18.2,65.3,177,139.4,114.6
1941,106.3,107.6,86.8,45.4,68.9,25.2,75.4,93.6,32,92.3,167.5,62.4
1942,150.3,39.2,97.6,62.5,112.8,13.1,93.3,124.7,116,66.1,24.2,140.1
1943,175.8,55.2,33.5,54.9,103.5,80.3,61.8,119.4,96.4,125.7,80.6,72.3
1944,108.9,36.9,16.9,68.4,45.6,58.2,97.1,77.5,132.9,139.1,160.3,120.9
1945,88.2,102.8,42.3,43,98.5,108.8,114.4,59.1,92.1,105.4,34.2,137.4
1946,125.4,88,59.2,34.1,64.7,99.3,88.1,150.8,162.9,68.7,136.6,136.3
1947,135.9,71.9,184.8,104.9,115.2,122.9,92,27.8,79.7,71.7,134.6,106
1948,200.5,67.6,74.8,65.5,59.9,91,70.8,98.2,93.6,106.8,94,199
1949,71.6,71.5,57.5,75.9,60.9,30.8,62.3,104.1,63.4,157.2,102.5,115.2
1950,68.8,138.7,57.6,89,31.8,61.2,126.1,152.1,164.1,88.3,93.5,99.2
1951,125.4,98.6,85.8,49.7,56.6,53.6,68.9,134.6,128.7,53.3,153.6,162.3
1952,127,24.9,67.6,64.3,65.2,63.5,33,100,53.6,145.7,79.7,104.7
1953,40.3,47.5,19.9,72.9,59.8,43.6,129,96,107.8,88,104.3,87.8
1954,79.4,117,101.5,28.7,104.3,65.9,89.4,79.1,129.3,173.9,145,128
1955,111.9,100.7,39.6,71.5,91.7,129.2,18.9,47.1,83,58.9,87.7,138.8
1956,106.8,35.2,86.4,29.2,44.7,78.1,119.8,141.2,122.6,73.9,66.7,161.5
1957,127.1,92.4,128.7,33.1,59.5,47.1,100.2,87.9,166,110.1,44,112.7
1958,131.4,121,81.3,34.5,110,127.9,121.2,141.8,139.9,71.9,69.1,130.9
1959,84.7,30.3,95.7,83.5,54.9,62.9,63.1,32.2,38.2,146,121.9,201.8
1960,116.1,95.6,83.4,74.5,69.8,71.5,144.9,119.4,119.5,140.2,167.1,126.1
1961,156.4,93.5,21.9,135.6,52.1,48.1,81.3,71.7,123.4,118.3,76.3,89.5
1962,127.4,47,89.7,64.5,77.2,46.1,70.6,112.1,145.9,52.7,80.7,102.9
1963,29.2,67,142,77.4,69.9,70.3,70.8,103.8,66.1,129.9,170.6,52.3
1964,43.1,64.5,130.6,72.7,79.7,82.1,72.1,110.8,75.4,109.3,71.5,142.5
1965,139.4,9.8,95.8,81.1,82.3,104.3,86.4,93.8,96.1,68.7,161.1,159.7
1966,116.5,173.8,57.8,143.2,87.5,104,51.7,80.6,83.9,146.4,72.4,121.4
1967,84.6,109.3,64.7,37.3,132.5,29.8,83.2,97.8,134.9,171.3,80.7,74.9
1968,121.4,38.7,76,73.8,64.4,66.1,37,77.1,144.2,129.5,125.5,150.3
1969,174.2,59.4,52.9,65.9,94.2,68.7,45.5,54.4,45.4,51.9,110.6,116.9
1970,127.8,114.6,57.6,89.1,32,50.1,91.6,76.6,110.6,81.2,165.8,56.1
1971,102.1,59.2,58.5,55.6,53.7,79.1,66.3,90.2,41.9,85.6,96.7,55.3
1972,144.7,100.5,90.9,75.6,113.2,71.7,59.4,54.7,16.9,66.4,134.8,128.5
1973,100.7,77.4,33.9,48.1,99.5,37.4,68.2,104.9,109.8,68.2,122.3,108.4
1974,205.1,108.1,51.9,37.4,95.7,40.5,88.5,98.1,166.2,55.1,98.8,91.6
1975,162.5,49.3,49.4,61.3,26.4,20.6,70.5,48.1,134.2,118.4,89.9,41
1976,109.3,56.2,95.5,28.9,96.7,50.2,74.7,12,116.9,178.8,89.5,102
1977,104.6,174,108.4,72.6,28.5,58.3,45,94.8,68.5,165.8,120.4,123
1978,112.6,108.5,111.6,54.4,24.2,58.5,72.5,97.6,68.3,50.1,115.1,226.4
1979,94.9,73.9,100.4,74.2,108.9,57.8,33.1,119,59.9,140.3,128.9,165.3
1980,117,118.9,105.1,25,35.3,84.1,95.4,106.6,136.6,144.7,108.2,117.5
1981,63,88.9,150.5,34.4,155.3,85.2,51.9,31.5,165.7,106.2,88.6,127.4
1982,105,112.1,113.2,31.7,71.9,131.4,20.3,94.3,114,156.6,162.7,137.6
1983,127,59.4,101.3,77.6,110,55.6,25.5,66.8,126.1,123,45,151.7
1984,180.2,84.9,64.7,45.5,31.9,45.1,41.9,81.7,99.4,122.3,146.1,118.1
1985,78.6,73.7,107,69,87.4,79.7,87,191.5,97.5,59.9,92.2,124.1
1986,136.2,6.5,121.1,74.1,124,95.4,68.1,174.7,7.5,99.9,138.4,179.3
1987,56,79.7,101.6,73.6,32.2,107.6,47.5,83.7,111,144.5,79.1,100.7
1988,194.6,79.9,114.7,42.2,83,49.4,131.1,120.5,80.2,150.3,55.5,72.8
1989,89.2,102.2,134.3,83.6,20.9,65.4,23.8,105.8,59.9,147,60,119.1
1990,135.3,192.5,38.2,52,37.3,101.6,58.4,71.5,39.7,178.6,74.8,121
1991,103.4,89,109.3,121.3,7.7,91.9,65.2,39.7,79,125.3,120.7,63.2
1992,66.7,71.6,107.9,103.1,55.8,39.4,101,142.3,97.8,56.3,131.6,86.8
1993,133.2,27.7,67.1,104.3,135,95.7,87.8,46.1,135,62.5,84.8,187.1
1994,148.3,154,119.6,97.9,67.9,55.4,91.9,83.3,87.3,69.7,102.3,159
1995,172.6,140.1,97.9,33,68.3,31.7,86.3,13,66.5,164.1,136.2,94.1
1996,146.3,109.6,106.2,93.9,70.1,40.8,64.5,110.8,37.9,169.3,126.5,52
1997,35.2,134.6,36.4,41.5,82.5,119.1,77,157.2,61.6,90.1,162.4,128.8
1998,144.4,40.4,90.9,124,39.7,132.4,83.7,82.7,96,157.4,130.3,135.6
1999,135.5,61.6,59.7,92.1,60.5,56.2,44.1,109.5,173.6,65.1,102.6,192.8
2000,66.3,111.7,35.7,79.9,66.7,55.3,58.5,81.8,120.8,180,180.4,158.6
2001,73.6,80.5,89.2,83,40.2,60.8,74.8,106,66.2,130.6,59.5,60.3
2002,151.6,160.2,63.3,102.1,139.5,105.7,70.4,61.9,39.3,199.1,187.3,112.9
2003,81.8,65.2,56.6,79.3,112,95.8,93.5,17.2,57.2,61.8,125.1,89.3
2004,123.4,52.3,85.9,67.4,47.5,82.4,59.3,122.8,101.9,166.7,54.2,89.5
2005,128.1,51.4,73.6,105.1,86.3,51.9,73.9,65,86.6,146.1,99.1,82.7
2006,57.6,54.6,120.3,47.3,126.2,29.8,55.9,70.8,162.6,145.6,142.3,170.5
2007,107.9,107.8,80.3,26.9,65.9,141.3,133,100.4,52.8,52.2,75,123.1
2008,174.3,58,113.5,45.1,42.3,101.9,123.8,175.9,108.2,152.4,80.4,73.7
2009,152.9,36.5,48.7,120.9,90.7,73.2,174.7,148.4,49.4,129.9,244.9,105.4
2010,93.8,52.6,86.2,56.9,47.5,54.2,139.2,43.7,136,80.1,135.8,62.5
